USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
_windowserver      367  13,6  0,8 413316000  69776   ??  Ss   18ноя25 981:26.73 /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer -daemon
bhuikund         82872   3,6  1,2 417352160 103952   ??  R     6:39     4:30.92 /Applications/Telegram.app/Contents/MacOS/Telegram
bhuikund         85467   0,0  0,1 410345168   6160   ??  Ss   10:46     0:00.02 /System/Library/Frameworks/ExtensionFoundation.framework/Versions/A/XPCServices/extensionkitservice.xpc/Contents/MacOS/extensionkitservice
root             85462   0,0  0,0 410803376   3728   ??  Ss   10:45     0:00.06 /usr/libexec/containermanagerd_system --runmode=privileged --user-container-mode=current --bundle-container-mode=global --bundle-container-owner=_appinstalld --system-container-mode=none
root             85461   0,0  0,1 410354352  11248   ??  Ss   10:45     0:00.12 /usr/libexec/wifivelocityd
bhuikund         85460   0,0  0,0 410312272   3680   ??  S    10:45     0:00.04 /usr/libexec/WiFiVelocityAgent
root             85457   0,0  0,1 410327072   7120   ??  Ss   10:45     0:00.17 /usr/libexec/findmybeaconingd
bhuikund         85438   0,0  0,1 410327104   5744   ??  S    10:42     0:00.92 /Library/Apple/System/Library/CoreServices/XProtect.app/Contents/XPCServices/XProtectPluginService.xpc/Contents/MacOS/XProtectPluginService
bhuikund         85437   0,0  0,2 410333264  13648   ??  S    10:42     0:00.23 /System/Library/PrivateFrameworks/iCloudNotification.framework/iCloudNotificationAgent
bhuikund         85436   0,0  0,0 410621616   2672   ??  S    10:42     0:00.03 /Library/Apple/System/Library/CoreServices/XProtect.app/Contents/MacOS/XProtect
bhuikund         85434   0,0  0,2 410365408  13248   ??  S    10:42     0:00.20 /System/Library/PrivateFrameworks/People.framework/peopled
bhuikund         85431   0,0  0,1 410326512   8688   ??  S    10:42     0:00.09 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
bhuikund         85430   0,0  0,1 410335632  10576   ??  S    10:42     0:00.16 /usr/libexec/pkd
bhuikund         85429   0,0  0,1 410326672   6464   ??  S    10:42     0:00.15 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd -tw
bhuikund         85425   0,0  0,1 410331680   9264   ??  S    10:42     0:00.62 /System/Library/Frameworks/Contacts.framework/Support/contactsd
root             85424   0,0  0,1 410326272   7040   ??  Ss   10:42     0:00.10 /System/Library/CoreServices/osanalyticshelper server-init
root             85423   0,0  0,1 410326416   4960   ??  Ss   10:42     0:00.15 /usr/libexec/mobileactivationd
bhuikund         85422   0,0  0,1 410885760   9056   ??  S    10:42     0:00.12 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/TrustedPeersHelper.xpc/Contents/MacOS/TrustedPeersHelper
bhuikund         85421   0,0  0,2 410365888  17216   ??  S    10:42     0:00.76 /System/Library/PrivateFrameworks/CalendarDaemon.framework/Support/calaccessd
bhuikund         85420   0,0  0,2 410418048  17616   ??  S    10:42     0:01.08 /usr/libexec/transparencyd
bhuikund         85419   0,0  0,2 410342720  14064   ??  S    10:42     0:01.32 /System/Library/PrivateFrameworks/DataAccess.framework/Support/dataaccessd
bhuikund         85417   0,0  0,1 410454176  11792   ??  S    10:41     0:00.21 /System/Library/PrivateFrameworks/ContextKit.framework/Versions/A/XPCServices/ContextService.xpc/Contents/MacOS/ContextService
bhuikund         85416   0,0  0,1 410336240  11280   ??  Ss   10:41     0:00.17 /System/Library/PrivateFrameworks/Categories.framework/Versions/A/XPCServices/CategoriesService.xpc/Contents/MacOS/CategoriesService
bhuikund         85415   0,0  0,1 410326432   5728   ??  S    10:41     0:00.07 /System/Library/PrivateFrameworks/AssetCacheServices.framework/Versions/A/XPCServices/AssetCacheLocatorService.xpc/Contents/MacOS/AssetCacheLocatorService -a
bhuikund         85414   0,0  0,1 410314912   5008   ??  S    10:41     0:00.06 /System/Library/Frameworks/ManagedSettings.framework/Versions/A/ManagedSettingsAgent
root             85394   0,0  0,0 410294560   3824   ??  Ss   10:37     0:00.06 /usr/libexec/securityd_system
root             85393   0,0  0,4 410355856  34352   ??  Ss   10:37     0:15.42 /usr/libexec/mobileassetd
bhuikund         85388   0,0  0,2 410501008  12960   ??  S    10:37     0:00.39 /System/Cryptexes/App/System/Library/CoreServices/SafariSupport.bundle/Contents/MacOS/SafariBookmarksSyncAgent
bhuikund         85385   0,0  0,1 410294352   6288   ??  S    10:37     0:00.12 /usr/libexec/gamecontrolleragentd
_gamecontrollerd 85384   0,0  0,1 410314112   7920   ??  Ss   10:37     0:00.15 /usr/libexec/gamecontrollerd
bhuikund         85383   0,0  0,2 411742448  18064   ??  S    10:36     0:00.12 /System/Library/CoreServices/CoreServicesUIAgent.app/Contents/MacOS/CoreServicesUIAgent
_audiomxd        85382   0,0  0,1 410822496   9600   ??  Ss   10:36     0:00.12 /usr/libexec/audiomxd
bhuikund         85379   0,0  0,2 410385248  15360   ??  S    10:36     0:00.16 /System/Library/CoreServices/Keychain Circle Notification.app/Contents/MacOS/Keychain Circle Notification
bhuikund         85378   0,0  0,2 410471040  14848   ??  S    10:36     0:00.15 /System/Library/CoreServices/CoreLocationAgent.app/Contents/MacOS/CoreLocationAgent
bhuikund         85377   0,0  0,2 410377296  13424   ??  S    10:36     0:00.26 /System/Library/Frameworks/CoreTelephony.framework/Support/CommCenter -L
bhuikund         85376   0,0  0,1 410354624  11664   ??  S    10:36     0:03.77 /usr/libexec/replayd
bhuikund         85374   0,0  0,1 410317520   8288   ??  S    10:36     0:00.09 /System/Library/PrivateFrameworks/BusinessChatService.framework/businessservicesd
bhuikund         85373   0,0  0,1 410294944   8016   ??  S    10:36     0:00.11 /System/Library/PrivateFrameworks/EmailDaemon.framework/Versions/A/maild
root             85371   0,0  0,1 410327744   9760   ??  Ss   10:36     0:00.10 /usr/libexec/ospredictiond
root             85367   0,0  0,1 411607968   9968   ??  Ss   10:36     0:00.31 /System/Library/PrivateFrameworks/TVIdleServices.framework/idleassetsd
root             85355   0,0  0,1 410354496   8560   ??  Ss   10:36     0:00.04 /usr/libexec/amfid
root             85341   0,0  0,1 410293936   4336   ??  Ss   10:34     0:00.04 /System/Library/CoreServices/backupd.bundle/Contents/Resources/backupd-helper -launchd
root             85325   0,0  0,1 410327088   5536   ??  Ss   10:31     0:00.91 /Library/Apple/System/Library/CoreServices/XProtect.app/Contents/XPCServices/XProtectPluginService.xpc/Contents/MacOS/XProtectPluginService
root             85324   0,0  0,0 410622176   2560   ??  Ss   10:31     0:00.05 /Library/Apple/System/Library/CoreServices/XProtect.app/Contents/MacOS/XProtect
bhuikund         85320   0,0  0,1 410318096  11792   ??  S    10:30     0:00.37 /usr/libexec/promotedcontentd
bhuikund         85315   0,0  0,2 410340048  15536   ??  S    10:30     0:01.32 /System/Library/PrivateFrameworks/AppStoreDaemon.framework/Support/appstoreagent
root             85222   0,0  0,1 410369808   6464   ??  Ss   10:24     0:00.11 /usr/sbin/systemsoundserverd
